Point,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
1,4008.5,6209.5,5276.2,7057.1,6140.8,3539.4,3163.4,2285.1,1279.6
2,2723.6,3676.3,2468.0,2975.5,2050.3,352.6,746.3,580.7,596.2
3,1623.9,1996.9,1256.5,1475.6,1065.5,233.6,496.8,427.6,509.8
4,1081.6,1231.2,774.1,963.8,773.6,408.3,485.0,435.4,459.4
5,705.3,848.4,490.2,666.2,631.3,153.7,391.7,379.2,367.5
6,599.0,757.2,430.8,560.7,629.7,227.4,398.4,391.7,328.3
7,390.8,587.4,233.6,337.4,532.8,228.9,261.9,276.2,287.0
8,228.2,485.0,23.2,93.4,502.2,168.7,62.5,157.4,276.1
9,-212.5,160.8,-702.7,-640.8,233.6,-146.2,-488.8,-228.7,156.4
10,1843.3,2960.7,953.1,2406.7,1797.7,-1500.7,1594.9,924.6,719.5
11,2153.8,2880.8,1227.6,2019.4,1425.5,-728.4,325.7,416.6,601.9
12,1388.9,1458.1,834.4,1108.6,885.5,-133.0,280.9,397.6,550.0
13,927.2,937.4,544.1,786.8,680.4,138.1,415.8,416.1,455.4
14,616.3,713.1,399.2,585.0,602.4,163.0,355.8,375.3,372.4
15,518.1,660.6,377.1,501.0,617.8,272.6,395.2,399.2,338.8
16,392.9,660.4,298.6,415.7,671.6,349.1,386.5,391.5,343.4
17,366.8,721.6,266.8,384.3,831.8,433.3,383.8,428.2,378.2
18,571.3,1211.8,478.3,754.9,1331.0,802.5,802.7,695.0,518.4
19,1104.0,1277.9,371.9,1646.7,930.2,-1659.7,714.0,287.7,465.8
20,1556.3,1402.6,464.5,974.3,3035.4,-1489.0,-126.5,326.8,610.4
21,1148.2,1016.1,488.4,731.6,1323.4,-404.5,150.3,420.8,531.3
22,850.0,744.2,442.1,680.0,719.4,12.0,463.0,496.0,480.5
23,575.0,590.5,379.1,581.7,614.8,179.5,485.1,460.6,395.1
24,452.4,715.6,388.5,504.0,656.1,442.7,480.4,443.9,341.5
25,419.6,627.9,358.7,436.4,724.1,387.3,465.5,440.6,368.6
26,330.8,688.1,305.4,360.4,824.6,438.2,416.8,420.2,384.9
27,317.0,1004.0,312.0,511.5,1182.4,698.5,583.2,615.9,469.9
28,949.7,1041.4,698.4,1795.2,515.7,-1571.4,679.1,131.1,434.2
29,1086.0,866.8,285.4,680.7,210.6,-1353.0,-253.1,194.1,512.3
30,797.8,482.2,130.7,345.1,359.1,-573.0,8.9,408.0,463.7
31,667.8,536.5,272.7,489.1,546.2,-58.4,315.8,480.6,457.8
32,473.5,503.6,303.2,452.1,544.2,133.1,399.7,478.4,382.4
33,366.7,543.7,369.1,446.1,610.9,281.4,469.0,475.2,346.4
34,286.2,527.2,325.2,343.0,617.8,346.5,414.5,439.4,334.9
35,267.2,687.0,326.9,348.9,801.3,470.8,425.1,463.1,374.5
36,345.0,1019.6,373.6,554.1,1199.7,739.5,513.3,576.2,444.3
37,836.3,176.6,1038.0,1996.2,824.1,-1515.0,728.2,-27.6,296.2
38,290.7,-400.8,-230.1,152.3,-66.4,-1571.7,-48.8,278.4,399.6
39,494.9,-207.6,-115.9,134.3,223.1,-457.5,205.5,520.9,439.1
40,408.0,105.9,73.5,221.1,401.8,-69.0,299.3,486.4,386.4
41,326.0,314.8,223.1,306.6,420.4,121.4,371.2,459.0,326.1
42,295.5,465.6,365.5,414.6,606.2,333.3,505.4,503.5,326.9
43,258.1,461.4,348.8,358.1,633.8,407.2,482.9,470.1,336.8
44,281.6,653.4,355.5,367.0,766.1,522.3,488.5,472.6,354.2
45,363.2,1151.6,453.1,529.6,1125.4,771.8,520.0,595.6,414.3
46,-2076.5,-4117.8,-2494.3,-2918.1,-2759.0,-3031.0,-700.1,-883.9,-213.1
47,-608.6,-1569.7,-1071.9,-1135.5,-831.7,-1477.5,-226.8,268.1,293.2
48,43.2,-545.2,-332.0,-305.8,6.6,-375.1,106.0,488.8,343.4
49,177.7,-132.8,-18.1,35.1,252.4,-40.3,316.6,457.5,319.9
50,282.3,224.3,269.2,301.1,479.2,241.1,494.8,526.7,323.6
51,281.4,395.5,379.5,410.4,573.4,396.1,548.0,516.4,312.9
52,252.4,538.4,417.5,423.2,648.2,496.3,646.8,514.1,325.8
53,333.7,832.8,531.4,535.6,843.9,642.8,698.6,577.2,375.8
54,446.9,1361.8,526.0,422.5,984.4,752.3,509.6,552.1,371.2
55,-459.5,-1345.6,-465.5,-794.7,-630.1,-347.8,-344.7,-118.7,39.4
56,-339.0,-1029.4,-565.2,-798.8,-602.2,-631.9,880.0,383.3,591.0
57,-46.8,-347.9,-217.5,-238.0,13.4,-115.3,637.6,501.3,527.5
58,206.1,65.2,76.8,36.0,284.1,76.6,240.9,501.5,435.5
59,281.3,435.0,357.0,360.6,537.9,351.3,117.6,585.2,368.2
60,279.1,448.6,392.2,420.0,566.1,404.1,223.8,534.3,314.0
61,306.9,558.8,455.0,516.1,708.0,561.8,291.9,532.0,305.0
62,531.1,1028.7,777.6,927.5,1160.8,903.9,478.8,781.9,436.7
63,1538.8,2574.9,2039.8,2517.6,2684.9,2016.3,1060.3,1687.5,925.6
